dummy1,dummy2,dummy3,Address Name,ALS Latitude,ALS Longitude
123,abc,"""a,a""","Flat F, 22/F, Block 6, East Point City, TSEUNG KWAN O, NEW TERRITORIES",22.31693,114.26545
124,abc,"""a,a""","Flat D, 5/F, Tower 1B, The Wings Iiib, TSEUNG KWAN O, NEW TERRITORIES",22.30448,114.25959
125,abc,"""a,a""","Room 1412, 14/F, Tong Fai House, Tong Ming Court, TSEUNG KWAN O, NEW TERRITORIES",22.30793,114.25649
126,abc,"""a,a""",cyberport,22.26252,114.12985
127,abc,"""a,a""",evangel college,22.30426,114.26245
128,abc,"""a,a""","Flat B, 3/F, Block 2, Wing On Towers, 9 Boyce Road, CAUSEWAY BAY, HONG KONG",22.2692,114.1954
129,abc,"""a,a""",ifc,22.28468,114.15805
130,abc,"""a,a""",the peak,22.25616,114.1329
131,abc,"""a,a""",tko hospital,22.2859,114.14583
132,abc,"""a,a""",king's college,22.28448,114.14049
133,abc,"""a,a""",king's college,22.28448,114.14049
134,abc,"""a,a""",qerngiequgqebgiqer,Error,Error
135,abc,"""a,a""",,Error,Error
136,abc,"""a,a""",東港城,22.26627,114.23405
